Country name,Regional indicator,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,South Asia,3.512230769230769,7.654230769230769,0.5049230769230769,52.284076923076924,0.5076923076923077,0.056846153846153845,0.8495384615384616,0.5495,0.32500000000000007
Albania,Central and Eastern Europe,5.026357142857143,9.394071428571428,0.7148571428571427,67.64992857142856,0.6716428571428572,-0.07892857142857143,0.871642857142857,0.6549285714285714,0.2992857142857143
Algeria,Middle East and North Africa,5.334,9.330333333333334,0.8035555555555556,65.36944444444445,0.5172222222222222,-0.14077777777777778,0.6997777777777778,0.6074444444444445,0.26066666666666666
Angola,Sub-Saharan Africa,4.42025,8.99,0.73825,53.55,0.45625,-0.08825000000000001,0.86675,0.6135,0.35125
Argentina,Latin America and Caribbean,6.2863125,10.0293125,0.904,67.96875,0.7719374999999999,-0.16125,0.8415625,0.8338749999999999,0.2845
Armenia,Commonwealth of Independent States,4.564866666666666,9.284799999999999,0.7239333333333333,65.83033333333334,0.5811333333333334,-0.19753333333333334,0.8320000000000001,0.5503666666666667,0.4342666666666667
Australia,North America and ANZ,7.275466666666667,10.758266666666666,0.9468666666666666,72.77333333333333,0.9212000000000001,0.2675666666666666,0.4172666666666667,0.8006666666666666,0.2134333333333333
Austria,Western Europe,7.244071428571429,10.888214285714286,0.9298571428571429,72.18857142857142,0.9062857142857144,0.12414285714285714,0.5638571428571428,0.788,0.17778571428571427
Azerbaijan,Commonwealth of Independent States,4.956333333333333,9.522866666666665,0.7749333333333334,64.05706666666667,0.6722,-0.1732,0.6855333333333333,0.5738,0.23063333333333336
Bahrain,Middle East and North Africa,6.055499999999999,10.725666666666667,0.8784166666666667,67.75291666666666,0.8691666666666666,0.07116666666666667,0.5677500000000001,0.7287500000000001,0.3465833333333333
Bangladesh,South Asia,4.771375,8.1489375,0.6124375,62.2125,0.75875,-0.0333125,0.7389375,0.6218125,0.2655
Belarus,Commonwealth of Independent States,5.5686,9.766266666666667,0.9069333333333334,63.91686666666667,0.6611333333333334,-0.16966666666666666,0.6682,0.564,0.2178
Belgium,Western Europe,6.971666666666667,10.800333333333333,0.9192,71.29326666666667,0.8488,-0.0339,0.6209333333333333,0.7855666666666666,0.2414
Belize,Latin America and Caribbean,6.2035,8.8875,0.8145,61.91,0.7895,0.0275,0.7755000000000001,0.757,0.26649999999999996
Benin,Sub-Saharan Africa,4.124615384615384,7.993692307692308,0.47807692307692307,53.07023076923077,0.7425384615384616,-0.056692307692307695,0.7749230769230769,0.6161923076923077,0.3353076923076923
Bhutan,South Asia,5.196666666666666,9.169666666666666,0.8489999999999999,59.9,0.8246666666666668,0.29933333333333334,0.6953333333333335,0.816,0.2843333333333333
Bolivia,Latin America and Caribbean,5.7323125,8.906875,0.8065625,62.0000625,0.8296875,-0.0530625,0.8218125,0.767875,0.3934375
Bosnia and Herzegovina,Central and Eastern Europe,5.235214285714285,9.442142857142857,0.7892857142857144,67.17271428571429,0.5125,0.05014285714285715,0.9432142857142857,0.5863571428571428,0.3100714285714286
