Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Western Europe
10.386,0.811,71.1,0.6,-0.096,0.787,0.697,0.209,False,False,True,False,False,False,False,False,False,False
10.576,0.871,73.898,0.693,0.012,0.855,0.709,0.405,False,False,False,False,False,False,False,False,False,True
10.008,0.909,66.4,0.867,-0.073,0.785,0.774,0.158,False,False,False,False,False,False,False,False,True,False
9.319,0.778,68.08,0.805,-0.158,0.755,0.836,0.142,False,False,True,False,False,False,False,False,False,False
11.52,0.857,66.7,0.905,0.104,0.184,0.761,0.322,False,False,False,False,True,False,False,False,False,False
10.004,0.778,65.86,0.655,-0.129,0.952,0.64,0.329,True,False,False,False,False,False,False,False,False,False
9.525,0.878,64.46,0.889,0.021,0.752,0.793,0.295,False,False,False,True,False,False,False,False,False,False
10.857,0.925,71.76,0.919,0.305,0.505,0.867,0.235,False,False,False,False,False,False,False,False,False,True
10.393,0.947,68.0,0.798,-0.195,0.884,0.743,0.18,True,False,False,False,False,False,False,False,False,False
10.608,0.987,72.6,0.942,0.329,0.186,0.834,0.16,False,False,False,False,False,True,False,False,False,False
7.578,0.79,55.9,0.595,-0.147,0.8145,0.455,0.295,False,False,False,False,True,False,False,False,False,False
10.8,0.925,73.8,0.912,0.112,0.436,0.822,0.285,False,False,False,False,False,True,False,False,False,False
7.665,0.665,53.9,0.721,-0.013,0.757,0.711,0.343,False,False,False,False,False,False,False,False,True,False
8.281,0.653,56.98,0.679,-0.026,0.895,0.771,0.301,False,False,False,False,False,False,True,False,False,False
10.016,0.931,67.0,0.788,-0.096,0.932,0.6225,0.2235,True,False,False,False,False,False,False,False,False,False
10.543,0.808,70.9,0.575,-0.19,0.845,0.738,0.222,False,False,False,False,False,False,False,False,False,True
9.248,0.935,61.1,0.748,0.136,0.928,0.649,0.179,False,False,True,False,False,False,False,False,False,False
10.005,0.841,65.92,0.848,0.017,0.847,0.867,0.177,False,False,False,False,False,False,False,True,False,False
8.457,0.775,62.0735,0.657,-0.147,0.804,0.565,0.38,False,False,False,False,True,False,False,False,False,False
7.627,0.785,53.4,0.614,-0.063,0.727,0.585,0.354,False,False,False,False,False,False,False,False,True,False
9.562,0.781,65.5,0.772,-0.232,0.561,0.593,0.191,False,True,False,False,False,False,False,False,False,False
11.025,0.889,65.2,0.934,-0.053,0.56,0.821,0.095,False,False,False,False,True,False,False,False,False,False
9.59,0.832,49.86,0.858,-0.164,0.806,0.731,0.218,False,False,False,False,False,False,False,False,True,False
8.92,0.904,60.2,0.631,0.099,0.928,0.712,0.15,False,False,True,False,False,False,False,False,False,False
10.112,0.889,67.48,0.816,-0.174,0.755,0.84,0.232,False,False,False,True,False,False,False,False,False,False
8.332,0.724,54.48,0.852,0.011,0.79,0.744,0.209,False,False,False,False,False,False,False,False,True,False
10.671,0.921,72.4,0.903,-0.102,0.627,0.781,0.281,False,False,False,False,False,False,False,False,False,True
9.237,0.84,65.6,0.692,-0.117,0.705,0.684,0.286,False,False,False,False,True,False,False,False,False,False
8.403,0.78,45.16,0.584,0.119,0.892,0.74,0.244,False,False,False,False,False,False,False,False,True,False
9.767,0.8,64.7,0.848,0.191,0.847,0.738,0.253,False,False,False,False,False,False,False,False,True,False
10.956,0.902,68.62,0.866,0.221,0.702,0.834,0.281,False,False,False,False,False,True,False,False,False,False
7.34,0.655,57.48,0.529,-0.023,0.791,0.748,0.192,False,False,False,False,False,False,False,False,True,False
9.43,0.917,50.5,0.739,-0.202,0.791,0.794,0.124,False,False,False,False,False,False,False,False,True,False
10.492,0.948,73.38,0.738,-0.028,0.854,0.716,0.335,False,False,False,False,False,False,False,False,False,True
10.382,0.898,69.702,0.841,-0.165,0.735,0.7395,0.236,True,False,False,False,False,False,False,False,False,False
10.148,0.937,64.6,0.84,-0.098,0.824,0.693,0.162,False,True,False,False,False,False,False,False,False,False
10.125,0.882,59.84,0.643,-0.305,0.924,0.594,0.166,False,True,False,False,False,False,False,False,False,False
9.743,0.717,64.96,0.524,0.035,0.927,0.527,0.365,False,False,False,False,True,False,False,False,False,False
10.931,0.982,73.0,0.959,0.259,0.699,0.836,0.178,False,False,False,False,False,False,False,False,False,True
10.246,0.792,67.2,0.631,-0.136,0.76,0.422,0.368,False,False,False,False,True,False,False,False,False,False
7.37,0.661,47.7,0.615,0.008,0.792,0.628,0.538,False,False,False,False,False,False,False,False,True,False
10.914,0.912,66.4,0.878,0.057,0.355,0.763,0.233,False,False,False,False,True,False,False,False,False,False
9.204,0.864,56.5,0.754,-0.169,0.846,0.739,0.24,False,False,False,False,False,False,False,False,True,False
7.593,0.761,45.92,0.555,-0.072,0.761,0.767,0.209,False,False,False,False,False,False,False,False,True,False
10.779,0.952,72.7,0.922,0.332,0.357,0.79,0.21,False,False,False,False,False,True,False,False,False,False
8.189,0.71,53.515,0.731,0.026,0.848,0.629,0.284,False,False,False,False,False,False,False,False,True,False
9.303,0.695,59.6,0.628,0.0,0.757,0.505,0.591,False,False,False,False,True,False,False,False,False,False
10.916,0.952,72.1,0.955,0.155,0.181,0.824,0.206,False,False,False,False,False,False,False,False,False,True
9.495,0.797,68.3,0.84,-0.085,0.808,0.795,0.34,False,False,False,True,False,False,False,False,False,False
9.267,0.766,66.04,0.342,0.006,0.926,0.613,0.296,True,False,False,False,False,False,False,False,False,False
9.826,0.913,70.6,0.854,0.024,0.825,0.58575,0.231,False,False,False,False,False,False,True,False,False,False
8.136,0.621,57.9,0.699,-0.092,0.738,0.588,0.448,False,False,False,False,False,False,False,False,True,False
10.085,0.882,64.5,0.519,-0.275,0.962,0.473,0.272,True,False,False,False,False,False,False,False,False,False
8.912,0.864,65.78,0.724,0.062,0.838,0.757,0.216,False,False,False,False,False,False,True,False,False,False
7.324,0.643,54.5,0.763,0.033,0.901,0.636,0.509,False,False,False,False,False,False,False,False,True,False
7.622,0.733,47.78,0.634,0.008,0.819,0.76,0.15,False,False,False,False,False,False,False,False,True,False
9.935,0.922,68.1,0.707,0.06,0.881,0.819,0.15,False,False,False,True,False,False,False,False,False,False
10.711,0.931,73.6,0.834,-0.123,0.601,0.762,0.242,False,False,False,False,False,False,False,False,False,True
11.041,0.856,66.48,0.92,0.071,0.347,0.768,0.2794999999999999,False,False,False,False,True,False,False,False,False,False
10.343,0.904,69.6,0.861,-0.131,0.837,0.884,0.223,False,False,False,True,False,False,False,False,False,False
10.891,0.954,69.92,0.932,0.24,0.206,0.828,0.194,False,False,False,False,False,False,False,False,False,True
10.35,0.896,69.652,0.872,-0.166,0.856,0.8634999999999999,0.2245,False,False,False,True,False,False,False,False,False,False
8.925,0.535,66.2,0.757,-0.244,0.757,0.589,0.41,False,False,False,False,True,False,False,False,False,False
7.365,0.638,53.7,0.671,-0.061,0.903,0.505,0.388,False,False,False,False,False,False,False,False,True,False
9.724,0.838,64.0,0.8,-0.141,0.957,0.642,0.346,True,False,False,False,False,False,False,False,False,False
7.485,0.783,48.7,0.787,-0.027,0.649,0.748,0.209,False,False,False,False,False,False,False,False,True,False
9.277,0.91,65.22,0.805,-0.015,0.808,0.8,0.326,False,False,False,True,False,False,False,False,False,False
11.001,0.864,66.46,0.936,0.071,0.347,0.768,0.291,False,False,False,False,True,False,False,False,False,False
9.459,0.82,60.64,0.494,-0.241,0.968,0.636,0.208,False,True,False,False,False,False,False,False,False,False
9.061,0.948,60.5,0.7,0.151,0.931,0.692,0.153,False,False,True,False,False,False,False,False,False,False
9.45,0.87,56.1,0.787,-0.129,0.865,0.785,0.268,False,False,False,False,False,False,False,False,True,False
10.677,0.922,72.2,0.924,0.087,0.689,0.707,0.356,False,False,False,False,False,False,False,False,False,True
9.351,0.886,65.58,0.757,-0.055,0.837,0.843,0.273,False,False,False,True,False,False,False,False,False,False
9.4,0.935,62.5,0.708,0.116,0.856,0.654,0.179,False,False,True,False,False,False,False,False,False,False
10.419,0.934,68.1,0.779,-0.042,0.926,0.641,0.244,True,False,False,False,False,False,False,False,False,False
8.602,0.839,66.38,0.817,0.104,0.699,0.813,0.334,False,False,False,True,False,False,False,False,False,False
8.636,0.827,66.6,0.809,0.077,0.728,0.797,0.346,False,False,False,True,False,False,False,False,False,False
10.697,0.943,72.02,0.915,0.246,0.413,0.867,0.248,False,False,False,False,False,True,False,False,False,False
8.869,0.655,65.3,0.817,-0.237,0.717,0.713,0.205,False,False,False,False,True,False,False,False,False,False
8.992,0.753,53.2,0.456,-0.136,0.906,0.558,0.305,False,False,False,False,False,False,False,False,True,False
9.724,0.805,67.1,0.552,-0.206,0.757,0.595,0.41,True,False,False,False,False,False,False,False,False,False
10.714,0.935,70.76,0.844,0.127,0.69,0.792,0.206,False,False,False,False,False,False,False,False,False,True
10.546,0.967,71.4,0.878,0.279,0.295,0.854,0.238,False,False,False,False,False,True,False,False,False,False
11.056,0.966,73.2,0.96,0.094,0.268,0.827,0.212,False,False,False,False,False,False,False,False,False,True
9.396,0.918,62.7,0.718,0.141,0.843,0.636,0.26,False,False,True,False,False,False,False,False,False,False
9.07,0.759,51.27,0.597,-0.191,0.724,0.778,0.28,False,False,False,False,False,False,False,False,True,False
6.678,0.554,44.88,0.767,0.2,0.676,0.67,0.222,False,False,False,False,False,False,False,False,True,False
9.805,0.888,67.401,0.884,0.287,0.895,0.843,0.174,False,False,False,False,False,False,False,True,False,False
10.75,0.901,69.37,0.799,0.002,0.711,0.845,0.083,False,False,True,False,False,False,False,False,False,False
11.017,0.882,64.9,0.769,-0.053,0.56,0.793,0.177,False,False,False,False,True,False,False,False,False,False
10.722,0.941,71.12,0.919,0.04,0.306,0.769,0.195,False,False,False,False,False,False,False,False,False,True
8.474,0.833,62.0735,0.653,-0.138,0.829,0.625,0.4,False,False,False,False,True,False,False,False,False,False
10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,False,False,False,False,False,False,False,False,False,True
8.981,0.884,63.813,0.6125,0.09,0.849,0.696,0.318,True,False,False,False,False,False,False,False,False,False
9.019,0.696,66.7,0.924,-0.126,0.583,0.839,0.329,False,False,False,True,False,False,False,False,False,False
11.332,0.938,72.3,0.861,0.144,0.362,0.811,0.213,False,False,False,False,False,False,False,False,False,True
9.414,0.558,65.04,0.72,-0.233,0.416,0.57,0.204,False,True,False,False,False,False,False,False,False,False
7.838,0.639,55.008,0.697,0.095,0.766,0.685,0.351,False,False,False,False,False,False,False,False,True,False
10.891,0.926,72.4,0.889,0.08,0.524,0.756,0.197,False,False,False,False,False,False,False,False,False,True
11.115,0.95,73.8,0.925,0.18,0.316,0.774,0.196,False,False,False,False,False,False,False,False,False,True
8.829,0.597,64.4,0.572,-0.21,0.771,0.784,0.239,False,False,False,False,True,False,False,False,False,False
9.241,0.684,58.4,0.599,0.019,0.762,0.49,0.581,False,False,False,False,True,False,False,False,False,False
10.707,0.934,72.5,0.859,0.233,0.459,0.794,0.228,False,False,False,False,False,False,False,False,False,True
9.374,0.884,62.2,0.484,-0.189,0.954,0.513,0.227,False,True,False,False,False,False,False,False,False,False
10.091,0.902,67.66,0.747,-0.148,0.817,0.857,0.272,False,False,False,True,False,False,False,False,False,False
9.167,0.88,59.9,0.834,0.268,0.65,0.859,0.324,False,False,False,False,False,False,True,False,False,False
9.991,0.916,67.2,0.818,-0.004,0.901,0.706,0.221,True,False,False,False,False,False,False,False,False,False
9.426,0.788,48.64,0.69,-0.158,0.859,0.735,0.21,False,False,False,False,False,False,False,False,True,False
7.476,0.564,55.1,0.398,0.306,0.777,0.619,0.333,False,False,False,True,False,False,False,False,False,False
7.638,0.74,55.3,0.772,0.06,0.816,0.703,0.4,False,False,False,False,False,False,False,False,True,False
10.406,0.77,72.96,0.715,0.06,0.868,0.737,0.397,False,False,False,False,False,False,False,False,False,True
9.232,0.763,55.16,0.849,-0.183,0.79,0.749,0.239,False,False,False,False,False,False,False,False,True,False
10.777,0.979,72.76,0.905,0.241,0.759,0.9,0.157,False,False,False,False,False,False,False,False,False,True
9.012,0.796,63.0,0.882,-0.047,0.853,0.783,0.376,False,False,False,True,False,False,False,False,False,False
10.336,0.936,67.1,0.698,-0.194,0.789,0.575,0.212,True,False,False,False,False,False,False,False,False,False
9.001,0.911,65.9,0.512,-0.117,0.813,0.867,0.223,False,False,False,True,False,False,False,False,False,False
9.797,0.797,62.24,0.885,-0.077,0.751,0.764,0.25,False,False,False,True,False,False,False,False,False,False
10.958,0.856,66.44,0.92,0.071,0.347,0.768,0.224,False,False,False,False,True,False,False,False,False,False
9.069,0.825,60.62,0.878,0.438,0.962,0.864,0.273,False,False,False,False,False,False,False,True,False,False
8.329,0.885,61.1,0.72,-0.072,0.926,0.65,0.123,False,True,False,False,False,False,False,False,False,False
10.663,0.979,69.9,0.922,0.331,0.398,0.864,0.262,False,False,False,False,False,False,False,False,False,True
8.106,0.911,53.7,0.71,0.077,0.701,0.734,0.245,False,False,False,False,True,False,False,False,False,False
7.904,0.477,51.98,0.773,-0.142,0.849,0.626,0.219,False,False,False,False,False,False,False,False,True,False
7.821,0.729,62.72,0.749,-0.073,0.717,0.714,0.198,False,True,False,False,False,False,False,False,False,False
10.285,0.883,62.82,0.847,0.128,0.948,0.833,0.286,False,False,False,True,False,False,False,False,False,False
8.563,0.588,60.54,0.467,0.316,0.673,0.464,0.705,False,False,False,False,True,False,False,False,False,False
10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,False,False,False,False,False,False,False,False,False,True
9.681,0.908,62.0,0.679,-0.203,0.676,0.566,0.223,False,True,False,False,False,False,False,False,False,False
10.536,0.954,72.12,0.935,0.284,0.269,0.864,0.21,False,False,False,False,False,True,False,False,False,False
10.127,0.894,65.76,0.631,-0.089,0.94,0.642,0.305,True,False,False,False,False,False,False,False,False,False
10.921,0.937,72.2,0.92,0.25,0.363,0.852,0.185,False,False,False,False,False,False,False,False,False,True
9.534,0.736,63.02,0.498,-0.087,0.754,0.544,0.234,False,True,False,False,False,False,False,False,False,False
9.802,0.806,66.4,0.835,-0.128,0.636,0.734,0.314,False,False,False,True,False,False,False,False,False,False
8.595,0.874,67.8,0.883,0.029,0.622,0.835,0.337,False,False,False,True,False,False,False,False,False,False
7.992,0.736,53.8,0.667,-0.123,0.81,0.715,0.179,False,False,False,False,False,False,False,False,True,False
9.403,0.639,67.8,0.704,-0.081,0.885,0.688,0.35,True,False,False,False,False,False,False,False,False,False
10.314,0.882,68.9,0.831,-0.122,0.639,0.677,0.203,True,False,False,False,False,False,False,False,False,False
10.361,0.827,70.5,0.656,-0.059,0.803,0.69,0.226,False,False,True,False,False,False,False,False,False,False
10.53,0.844,72.54,0.745,0.18,0.841,0.763,0.272,False,False,False,False,False,False,False,False,False,True
9.155,0.794,61.06,0.781,0.376,0.973,0.893,0.249,False,False,False,False,False,False,False,True,False,False
8.47,0.857,54.5,0.669,0.055,0.727,0.778,0.129,False,False,False,False,False,False,False,False,True,False
10.576,0.869,73.898,0.775,0.012,0.715,0.622,0.443,False,False,False,False,False,False,False,False,False,True
10.481,0.941,68.8,0.909,-0.106,0.527,0.6910000000000001,0.1935,True,False,False,False,False,False,False,False,False,False
10.79,0.97,71.9,0.905,0.141,0.253,0.833,0.2,False,False,False,False,False,False,False,False,False,True
7.091,0.483,42.7,0.69,-0.036,0.845,0.523,0.257,False,False,False,False,True,False,False,False,False,False
8.98,0.834,63.54,0.843,0.108,0.804,0.835,0.305,False,False,False,True,False,False,False,False,False,False
9.605,0.984,62.2,0.858,0.26,0.888,0.612,0.189,False,True,False,False,False,False,False,False,False,False
10.733,0.967,72.3,0.945,0.369,0.382,0.816,0.195,False,False,False,False,False,True,False,False,False,False
7.365,0.64,48.7,0.537,0.055,0.832,0.587,0.46,False,False,False,False,False,False,False,False,True,False
10.757,0.912,66.6,0.891,-0.147,0.5065,0.732,0.238,False,False,False,False,True,False,False,False,False,False
9.846,0.905,66.1,0.644,-0.174,0.718,0.45,0.236,False,True,False,False,False,False,False,False,False,False
9.557,0.904,65.86,0.57,-0.199,0.827,0.811,0.244,False,False,False,True,False,False,False,False,False,False
9.355,0.842,67.9,0.846,-0.015,0.774,0.846,0.365,False,False,False,True,False,False,False,False,False,False
10.026,0.739,64.88,0.471,-0.216,0.702,0.645,0.335,False,False,False,False,True,False,False,False,False,False
9.549,0.762,63.88,0.599,-0.14,0.763,0.554,0.266,False,True,False,False,False,False,False,False,False,False
10.319,0.891,72.6,0.614,-0.289,0.848,0.668,0.236,False,False,False,False,False,False,False,False,False,True
9.584,0.714,65.7,0.731,0.218,0.715,0.694,0.439,False,False,False,False,True,False,False,False,False,False
6.895,0.613,51.42,0.733,0.099,0.853,0.713,0.268,False,False,False,False,False,False,False,False,True,False
11.025,0.904,68.3,0.825,0.116,0.71,0.815,0.292,False,False,False,False,False,True,False,False,False,False
9.332,0.533,64.92,0.659,-0.269,0.321,0.559,0.25,False,True,False,False,False,False,False,False,False,False
8.311,0.607,56.86,0.448,0.1,0.792,0.598,0.274,False,False,False,False,False,False,True,False,False,False
8.344,0.707,60.1,0.821,0.291,0.844,0.759,0.237,False,False,False,False,False,False,False,False,True,False
9.687,0.828,66.1,0.657,0.031,0.853,0.553,0.263,False,False,False,False,True,False,False,False,False,False
9.489,0.674,66.0,0.603,0.2,0.703,0.553,0.493,False,False,False,False,True,False,False,False,False,False
10.472,0.933,68.6,0.886,-0.141,0.621,0.795,0.163,True,False,False,False,False,False,False,False,False,False
7.988,0.719,55.34,0.534,-0.121,0.651,0.612,0.212,False,False,False,False,False,False,False,False,True,False
8.883,0.757,62.22,0.874,0.022,0.782,0.755,0.282,False,False,False,True,False,False,False,False,False,False
7.96,0.716,58.88,0.927,0.418,0.775,0.799,0.308,False,False,False,False,False,False,False,True,False,False
8.548,0.741,49.7,0.79,-0.01,0.866,0.805,0.256,False,False,False,False,False,False,False,False,True,False
9.458,0.832,68.25,0.822,-0.154,0.891,0.779,0.368,False,False,False,True,False,False,False,False,False,False
10.486,0.941,72.08,0.904,0.404,0.67,0.652,0.352,False,False,False,False,False,False,False,False,False,True
7.697,0.42,52.4,0.394,-0.108,0.924,0.351,0.502,False,False,False,False,False,False,True,False,False,False
9.497,0.71,69.3,0.754,0.007,0.891,0.679,0.265,True,False,False,False,False,False,False,False,False,False
8.484,0.739,50.5,0.713,0.099,0.913,0.744,0.316,False,False,False,False,False,False,False,False,True,False
9.215,0.828,56.2,0.81,-0.19,0.831,0.721,0.277,False,False,False,False,False,False,False,False,True,False
10.792,0.937,72.0,0.948,-0.052,0.195,0.755,0.181,False,False,False,False,False,False,False,False,False,True
8.911,0.748,67.24,0.853,-0.092,0.755,0.817,0.147,False,False,True,False,False,False,False,False,False,False
7.638,0.787,57.7,0.413,0.317,0.891,0.643,0.152,False,False,False,False,False,False,True,False,False,False
10.623,0.88,73.8,0.693,-0.084,0.866,0.67,0.323,False,False,False,False,False,False,False,False,False,True
8.989,0.924,59.44,0.786,-0.102,0.888,0.781,0.152,False,True,False,False,False,False,False,False,False,False
9.344,0.785,67.12,0.825,-0.084,0.73,0.847,0.333,False,False,False,True,False,False,False,False,False,False
9.377,0.914,65.1,0.806,-0.008,0.863,0.866,0.219,False,False,False,True,False,False,False,False,False,False
8.218,0.591,54.2,0.63,0.0965,0.844,0.628,0.237,False,False,False,False,False,False,True,False,False,False
7.952,0.629,54.36,0.508,-0.074,0.838,0.672,0.167,False,False,False,False,False,False,False,False,True,False
8.82,0.876,67.5,0.894,-0.09,0.799,0.536,0.223,False,False,False,False,False,False,False,True,False,False
8.453,0.617,58.9,0.685,0.124,0.776,0.581,0.424,False,False,False,False,False,False,True,False,False,False
10.873,0.914,72.5,0.935,0.17,0.239,0.814,0.175,False,False,False,False,False,False,False,False,False,True
7.288,0.72,56.498,0.735,0.05,0.85,0.613,0.391,False,False,False,False,False,False,False,False,True,False
8.082,0.875,64.1,0.784,-0.065,0.578,0.695,0.22,False,True,False,False,False,False,False,False,False,False
11.323,0.96,72.5,0.882,0.014,0.356,0.797,0.246,False,False,False,False,False,False,False,False,False,True
10.066,0.927,67.3,0.73,-0.126,0.855,0.846,0.211,False,False,False,True,False,False,False,False,False,False
7.677,0.781,56.101,0.709,0.122,0.855,0.681,0.346,False,False,False,False,False,False,False,False,True,False
10.069,0.751,68.2,0.627,-0.204,0.936,0.59,0.285,True,False,False,False,False,False,False,False,False,False
7.344,0.647,57.9,0.545,-0.041,0.861,0.802,0.226,False,False,False,False,False,False,False,False,True,False
10.796,0.94,73.9,0.914,0.159,0.442,0.801,0.2145,False,False,False,False,False,True,False,False,False,False
10.706,0.877,66.3,0.862,-0.001,0.715,0.685,0.423,False,False,False,False,True,False,False,False,False,False
9.656,0.829,67.1,0.607,-0.066,0.907,0.464,0.271,False,False,False,False,True,False,False,False,False,False
9.606,0.786,64.6,0.764,-0.198,0.616,0.607,0.206,False,True,False,False,False,False,False,False,False,False
7.37,0.76,46.48,0.747,-0.041,0.807,0.59,0.254,False,False,False,False,False,False,False,False,True,False
10.853,0.884,72.2,0.776,-0.172,0.672,0.733,0.244,False,False,False,False,False,False,False,False,False,True
7.549,0.774,50.5,0.562,0.256,0.93,0.744,0.178,False,False,False,False,False,False,False,False,True,False
9.671,0.879,67.72,0.808,-0.143,0.597,0.751,0.264,False,False,False,True,False,False,False,False,False,False
9.778,0.795,58.9,0.818,-0.254,0.807,0.73,0.267,False,False,False,False,False,False,False,False,True,False
10.76,0.937,74.2,0.905,0.21,0.491,0.769,0.205,False,False,False,False,False,True,False,False,False,False
10.211,0.917,66.2,0.685,-0.156,0.868,0.654,0.231,True,False,False,False,False,False,False,False,False,False
9.561,0.566,65.4,0.773,0.186,0.713,0.687,0.526,False,False,False,False,True,False,False,False,False,False
9.782,0.779,68.9,0.873,-0.119,0.778,0.81,0.292,False,False,False,True,False,False,False,False,False,False
9.461,0.809,68.4,0.815,-0.13,0.874,0.82,0.375,False,False,False,True,False,False,False,False,False,False
7.911,0.81,63.04,0.853,0.002,0.698,0.656,0.196,False,True,False,False,False,False,False,False,False,False
9.296,0.822,63.813,0.89,0.269,0.922,0.778,0.17,True,False,False,False,False,False,False,False,False,False
10.97,0.832,76.82,0.8,0.1,0.403,0.664,0.213,False,False,True,False,False,False,False,False,False,False
10.551,0.822,72.4,0.755,0.073,0.833,0.786,0.296,False,False,False,False,False,False,False,False,False,True
9.875,0.792,65.44,0.874,-0.009,0.858,0.822,0.164,False,False,False,False,False,False,False,True,False,False
10.659,0.968,71.4,0.935,0.2895,0.39,0.843,0.238,False,False,False,False,False,True,False,False,False,False
8.985,0.829,62.7,0.884,-0.03,0.862,0.786,0.393,False,False,False,True,False,False,False,False,False,False
10.14,0.877,66.08,0.674,-0.113,0.912,0.706,0.307,True,False,False,False,False,False,False,False,False,False
10.555,0.89,72.9,0.772,0.153,0.804,0.629,0.263,False,False,False,False,True,False,False,False,False,False
11.357,0.808,75.46,0.827,0.115,0.242,0.77,0.148,False,False,False,False,False,False,False,True,False,False
8.102,0.507,55.1,0.783,-0.083,0.532,0.609,0.305,False,False,False,False,False,False,False,False,True,False
9.46,0.898,55.3,0.862,-0.127,0.853,0.781,0.161,False,False,False,False,False,False,False,False,True,False
9.443,0.664,64.62,0.73,0.216,0.685,0.659,0.552,False,False,False,False,True,False,False,False,False,False
9.402,0.698,66.6,0.614,-0.147,0.865,0.625,0.437,False,True,False,False,False,False,False,False,False,False
10.878,0.96,71.5,0.941,0.222,0.191,0.829,0.218,False,False,False,False,False,False,False,False,False,True
10.56,0.942,73.8,0.768,-0.048,0.819,0.653,0.301,False,False,False,False,False,False,False,False,False,True
7.718,0.526,52.88,0.509,0.104,0.871,0.532,0.375,False,False,False,False,False,False,True,False,False,False
10.433,0.901,70.2,0.896,0.008,0.892,0.659,0.261,True,False,False,False,False,False,False,False,False,False
10.882,0.879,72.0,0.904,0.261,0.412,0.834,0.202,False,False,False,False,False,False,False,False,False,True
9.173,0.845,56.8,0.739,-0.174,0.879,0.672,0.256,False,False,False,False,False,False,False,False,True,False
7.37,0.451,50.8,0.718,0.168,0.882,0.518,0.258,False,False,False,False,False,False,True,False,False,False
9.464,0.734,64.349,0.552,-0.042,0.844,0.576,0.37,True,False,False,False,False,False,False,False,False,False
10.339,0.913,68.6,0.714,-0.055,0.92,0.788,0.213,True,False,False,False,False,False,False,False,False,False
9.969,0.928,68.3,0.755,-0.009,0.88,0.888,0.146,False,False,False,True,False,False,False,False,False,False
7.88,0.633,54.7,0.746,-0.057,0.519,0.579,0.181,False,False,False,False,True,False,False,False,False,False
8.033,0.632,57.5,0.538,0.077,0.762,0.736,0.336,False,False,False,False,False,False,False,False,True,False
9.532,0.775,67.5,0.564,0.092,0.923,0.597,0.271,True,False,False,False,False,False,False,False,False,False
10.3,0.928,67.4,0.82,-0.078,0.809,0.714,0.202,True,False,False,False,False,False,False,False,False,False
7.702,0.529,53.2,0.389,0.08,0.881,0.554,0.339,False,False,False,False,False,False,True,False,False,False
10.199,0.914,63.82,0.621,-0.259,0.961,0.533,0.276,True,False,False,False,False,False,False,False,False,False
9.351,0.88,65.46,0.795,-0.042,0.763,0.803,0.307,False,False,False,True,False,False,False,False,False,False
9.0045,0.97,68.44,0.281,-0.12325,0.74575,0.647,0.277,False,False,False,True,False,False,False,False,False,False
7.62,0.521,51.92,0.496,0.162,0.731,0.611,0.267,False,False,False,False,False,False,True,False,False,False
8.349,0.605,57.4,0.783,0.058,0.863,0.697,0.267,False,False,False,False,False,False,True,False,False,False
8.643,0.827,67.2,0.872,0.099,0.804,0.872,0.287,False,False,False,True,False,False,False,False,False,False
10.479,0.767,72.68,0.725,0.098,0.871,0.755,0.369,False,False,False,False,False,False,False,False,False,True
9.892,0.736,64.48,0.686,-0.188,0.949,0.644,0.277,True,False,False,False,False,False,False,False,False,False
8.755,0.603,60.633,0.893,0.089,0.774,0.682,0.301,False,False,False,False,False,False,True,False,False,False
9.83,0.736,65.08,0.665,0.071,0.937,0.528,0.401,False,False,False,False,True,False,False,False,False,False
8.49,0.803,65.5,0.646,0.105,0.82,0.797,0.26,False,False,False,True,False,False,False,False,False,False
10.783,0.937,70.92,0.88,-0.014,0.711,0.835,0.225,False,False,False,False,False,False,False,False,False,True
10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176,False,False,False,False,False,False,False,False,False,True
10.048,0.892,67.06,0.678,-0.132,0.865,0.823,0.318,False,False,False,True,False,False,False,False,False,False
9.86,0.917,66.4,0.657,-0.186,0.546,0.591,0.19,False,True,False,False,False,False,False,False,False,False
7.047,0.683,52.5,0.702,-0.016,0.814,0.675,0.325,False,False,False,False,False,False,False,False,True,False
6.907,0.563,53.46,0.752,0.078,0.857,0.808,0.248,False,False,False,False,False,False,False,False,True,False
8.464,0.685,58.5,0.773,0.069,0.799,0.567,0.377,False,False,False,False,False,False,True,False,False,False
8.146,0.706,53.06,0.812,-0.011,0.809,0.692,0.327,False,False,False,False,False,False,False,False,True,False
7.632,0.638,50.88,0.684,0.006,0.705,0.629,0.351,False,False,False,False,False,False,False,False,True,False
10.532,0.902,73.8,0.772,-0.14,0.77,0.827,0.188,False,False,True,False,False,False,False,False,False,False
7.604,0.813,52.3,0.597,0.139,0.866,0.717,0.146,False,False,False,False,False,False,False,False,True,False
8.914,0.554,65.9,0.773,-0.234,0.843,0.638,0.416,False,False,False,False,True,False,False,False,False,False
9.667,0.926,66.16,0.781,0.456,0.925,0.846,0.141,False,False,False,False,False,False,False,True,False,False
