Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Western Europe
9.81,0.74,67.9,0.583,-0.144,0.781,0.58,0.337,True,False,False,False,False,False,False,False,False,False
7.106,0.677,54.0,0.831,0.026,0.729,0.816,0.304,False,False,False,False,False,False,False,False,True,False
8.898,0.641,65.6,0.814,-0.216,0.841,0.559,0.323,False,False,False,False,True,False,False,False,False,False
9.522,0.782,67.2,0.844,-0.172,0.583,0.598,0.43,False,True,False,False,False,False,False,False,False,False
8.46,0.898,62.78,0.736,0.355,0.897,0.725,0.185,False,True,False,False,False,False,False,False,False,False
9.402,0.798,67.2,0.802,-0.09,0.884,0.754,0.378,False,False,False,True,False,False,False,False,False,False
9.825,0.879,66.32,0.67,-0.095,0.747,0.816,0.248,False,False,False,True,False,False,False,False,False,False
7.721,0.675,52.2,0.726,-0.056,0.803,0.687,0.374,False,False,False,False,False,False,False,False,True,False
9.629,0.983,62.409,0.877,0.273,0.888,0.624,0.1714999999999999,False,True,False,False,False,False,False,False,False,False
10.335,0.943,68.4,0.771,-0.12,0.836,0.735,0.24,True,False,False,False,False,False,False,False,False,False
9.884,0.893,67.7,0.752,-0.153,0.809,0.859,0.22,False,False,False,True,False,False,False,False,False,False
8.965,0.729,59.1,0.906,0.061,0.62,0.878,0.306,False,False,False,False,False,False,False,True,False,False
9.617,0.675,64.3,0.811,-0.26,0.647,0.604,0.244,False,True,False,False,False,False,False,False,False,False
10.566,0.919,72.2,0.912,0.347,0.664,0.68,0.355,False,False,False,False,False,False,False,False,False,True
11.486,0.857,68.3,0.905,0.133,0.184,0.761,0.322,False,False,False,False,True,False,False,False,False,False
9.382,0.819,67.02,0.722,-0.136,0.878,0.759,0.319,False,False,False,True,False,False,False,False,False,False
10.717,0.954,72.2,0.934,0.23,0.413,0.879,0.233,False,False,False,False,False,True,False,False,False,False
8.891,0.834,61.76,0.643,0.197,0.755,0.829,0.24,False,False,False,True,False,False,False,False,False,False
8.526,0.883,63.8,0.859,0.143,0.874,0.755,0.16,False,True,False,False,False,False,False,False,False,False
8.373,0.676,60.7,0.818,0.31,0.794,0.751,0.251,False,False,False,False,False,False,False,False,True,False
6.962,0.864,52.5,0.637,-0.024,0.875,0.646,0.222,False,False,False,False,False,False,False,False,True,False
10.108,0.93,64.6,0.697,-0.1475,0.903,0.675,0.29,True,False,False,False,False,False,False,False,False,False
11.115,0.836,66.9,0.962,0.216,0.347,0.795,0.208,False,False,False,False,True,False,False,False,False,False
10.07,0.827,69.6,0.769,0.041,0.812,0.803,0.333,False,False,False,True,False,False,False,False,False,False
10.044,0.908,60.42,0.617,-0.283,0.954,0.566,0.169,False,True,False,False,False,False,False,False,False,False
10.64,0.92,73.4,0.633,-0.035,0.867,0.661,0.323,False,False,False,False,False,False,False,False,False,True
7.162,0.738,54.2,0.897,0.049,0.691,0.64,0.397,False,False,False,False,False,False,False,False,True,False
8.569,0.868,66.16,0.859,0.039,0.636,0.839,0.271,False,False,False,True,False,False,False,False,False,False
10.66,0.954,73.2,0.949,0.12,0.207,0.845,0.168,False,False,False,False,False,True,False,False,False,False
8.585,0.898,66.66,0.818,0.105,0.742,0.532,0.193,False,False,False,False,False,False,False,True,False,False
8.299,0.774,57.74,0.876,0.698,0.592,0.858,0.112,False,False,False,False,False,False,False,True,False,False
10.018,0.862,66.94,0.653,-0.141,0.881,0.828,0.279,False,False,False,True,False,False,False,False,False,False
9.249,0.788,67.92,0.808,-0.185,0.755,0.821,0.159,False,False,True,False,False,False,False,False,False,False
10.781,0.863,68.1,0.889,0.088,0.554,0.787,0.283,False,False,False,False,True,False,False,False,False,False
